date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:27:28	28/28	---M--	200	added ('OK')	text/plain	etag:%226846782d-1c%22	https://vinija.ai/robots.txt		(from )
19:27:28	4087/4087	---M-Z	200	added ('OK')	text/html	etag:W/%226846782d-ff7%22	https://vinija.ai/	D:/Vinija_mirror/vinija.ai/index.html	(from )
19:27:28	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	D:/Vinija_mirror/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://vinija.ai/)
19:27:29	1841/1841	---M-Z	200	added ('OK')	text/css	etag:W/%226846782c-731%22	https://vinija.ai/css/main_vin.css	D:/Vinija_mirror/vinija.ai/css/main_vin.css	(from https://vinija.ai/)
19:27:29	52530/52530	---M-Z	200	added ('OK')	text/html	etag:W/%226846782d-cd32%22	https://vinija.ai/recsys/index.html	D:/Vinija_mirror/vinija.ai/recsys/index.html	(from https://vinija.ai/)
19:27:29	53229/53229	---M-Z	200	added ('OK')	text/html	etag:W/%226846782d-cfed%22	https://vinija.ai/nlp/index.html	D:/Vinija_mirror/vinija.ai/nlp/index.html	(from https://vinija.ai/)
19:27:30	49125/49125	---M-Z	200	added ('OK')	text/html	etag:W/%226846782c-bfe5%22	https://vinija.ai/concepts/index.html	D:/Vinija_mirror/vinija.ai/concepts/index.html	(from https://vinija.ai/)
19:27:30	44857/44857	---M-Z	200	added ('OK')	text/html	etag:W/%226846782c-af39%22	https://vinija.ai/vision/	D:/Vinija_mirror/vinija.ai/vision/index.html	(from https://vinija.ai/)
19:27:30	48541/48541	---M-Z	200	added ('OK')	text/html	etag:W/%226846782d-bd9d%22	https://vinija.ai/models/index.html	D:/Vinija_mirror/vinija.ai/models/index.html	(from https://vinija.ai/)
19:27:30	45630/45630	---M-Z	200	added ('OK')	text/html	etag:W/%226846782d-b23e%22	https://vinija.ai/multimodal/index.html	D:/Vinija_mirror/vinija.ai/multimodal/index.html	(from https://vinija.ai/)
19:27:30	46376/46376	---M-Z	200	added ('OK')	text/html	etag:W/%226846782c-b528%22	https://vinija.ai/CourseraML/index.html	D:/Vinija_mirror/vinija.ai/CourseraML/index.html	(from https://vinija.ai/)
19:27:31	48920/48920	---M-Z	200	added ('OK')	text/html	etag:W/%226846782d-bf18%22	https://vinija.ai/CourseraDL/index.html	D:/Vinija_mirror/vinija.ai/CourseraDL/index.html	(from https://vinija.ai/)
19:27:31	46916/46916	---M-Z	200	added ('OK')	text/html	etag:W/%226846782c-b744%22	https://vinija.ai/talks/index.html	D:/Vinija_mirror/vinija.ai/talks/index.html	(from https://vinija.ai/)
19:27:31	45474/45474	---M-Z	200	added ('OK')	text/html	etag:W/%226846782c-b1a2%22	https://vinija.ai/infra/index.html	D:/Vinija_mirror/vinija.ai/infra/index.html	(from https://vinija.ai/)
19:27:32	416994/416994	---M--	200	added ('OK')	image/png	etag:%226846782d-65ce2%22	https://vinija.ai/Assets/face.png	D:/Vinija_mirror/vinija.ai/Assets/face.png	(from https://vinija.ai/)
19:27:32	37410/37410	---M-Z	200	added ('OK')	text/html	etag:W/%226846782d-9222%22	https://vinija.ai/privacy-policy.htm	D:/Vinija_mirror/vinija.ai/privacy-policy.html	(from https://vinija.ai/)
19:27:32	4658/4658	---M-Z	200	added ('OK')	text/html	etag:W/%226846782c-1232%22	https://vinija.ai/fulfillment-policy.htm	D:/Vinija_mirror/vinija.ai/fulfillment-policy.html	(from https://vinija.ai/)
19:27:32	17897/17897	---M-Z	200	added ('OK')	text/css	etag:W/%226846782c-45e9%22	https://vinija.ai/css/main.css	D:/Vinija_mirror/vinija.ai/css/main.css	(from https://vinija.ai/recsys/index.html)
19:27:33	52530/52530	---M-Z	200	added ('OK')	text/html	etag:W/%226846782c-cd32%22	https://vinija.ai/recsys/	D:/Vinija_mirror/vinija.ai/recsys/index-2.html	(from https://vinija.ai/recsys/index.html)
19:27:33	528/528	---M-Z	200	added ('OK')	application/xml	etag:W/%226846782c-210%22	https://vinija.ai/feed.xml	D:/Vinija_mirror/vinija.ai/feed.xml	(from https://vinija.ai/recsys/index.html)
19:27:33	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://vinija.ai/favicon.jpg	D:/Vinija_mirror/vinija.ai/favicon.jpg	(from https://vinija.ai/recsys/index.html)
19:27:33	190882/190882	---M--	200	added ('OK')	text/javascript	etag:981155302032798687	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-5905744527956213	D:/Vinija_mirror/pagead2.googlesyndication.com/pagead/js/ff0a8.txt	(from https://vinija.ai/recsys/index.html)
19:27:34	2491/2491	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2029%20Apr%202025%2017:16:11%20GMT	https://unpkg.com/vanilla-back-to-top@7.2.1/dist/vanilla-back-to-top.min.js	D:/Vinija_mirror/unpkg.com/vanilla-back-to-top@7.2.1/dist/vanilla-back-to-top.min.js	(from https://vinija.ai/recsys/index.html)
